Unnamed: 0,brand,name,price,image_name
2313,Swatch,LUMINESCENT SAND,210.0,2313.jpg
2314,Rosefield,The Tribeca,169.95,2314.jpg
2315,Mido,Baroncelli Gent,1300.0,2315.jpg
2316,Swatch,BLACKINJELLY,165.0,2316.jpg
2317,Missguided,Missguided Iridescent Tiger,179.95,2317.jpg
2318,Mido,Baroncelli Diamonds,1500.0,2318.jpg
2319,Swatch,ROSE MOIRE,240.0,2319.jpg
2320,Cluse,Boho Chic Petite Mesh,169.0,2320.jpg
2321,Daniel Wellington,Petite Ashfield 32mm,299.0,2321.jpg
2322,Furla,Furla New Pin,289.0,2322.jpg
2323,Maxum,Mini Bulk,99.0,2323.jpg
2324,Guess,Third Gear,329.95,2324.jpg
2325,Nixon,Sentry Wall Clock,199.99,2325.jpg
2326,Swatch,PINK MIST,130.0,2326.jpg
2327,Nixon,Siren Milanese,229.99,2327.jpg
2328,Daniel Wellington,Quadro Melrose,319.0,2328.jpg
2329,Maxum,Maverick,99.0,2329.jpg
2330,Tissot,Seastar 1000 Chronograph,875.0,2330.jpg
2331,Guess,Gala,329.95,2331.jpg
2332,Daniel Wellington,Petite Lumine Pearl,339.0,2332.jpg
2333,Daniel Wellington,Quadro Coral Pearl,289.0,2333.jpg
2334,TIMEX,Timex Q Diver,299.95,2334.jpg
2335,Swatch,ALL THAT BLUES,130.0,2335.jpg
2336,Rose & Coy,Hello,189.0,2336.jpg
2337,Nixon,Rolling Stones Primacy,2299.99,2337.jpg
2338,Salvatore Ferragamo,Varina Bow,1940.0,2338.jpg
2339,adidas Originals,Digital One GMT,179.95,2339.jpg
2340,Maxum,Tour Blue,79.0,2340.jpg
2341,Furla,Heritage Furla Easy Shape,349.0,2341.jpg
2342,Guess,Tri Glitz,299.95,2342.jpg
2343,Furla,Furla Cosy,249.0,2343.jpg
2344,Mido,Baroncelli,1125.0,2344.jpg
2345,Daniel Wellington,Classic Reading 40mm,379.0,2345.jpg
2346,Mido,Ocean Star Tribute,1650.0,2346.jpg
2347,Missoni,Optic Zigzag,1330.0,2347.jpg
2348,Mido,Baroncelli Prisma,1700.0,2348.jpg
2349,Daniel Wellington,Quadro Sheffield,279.0,2349.jpg
2350,The Horse,Ocean Plastics,159.0,2350.jpg
2351,Mido,Baroncelli Heritage Gent,1575.0,2351.jpg
2352,TIMEX,Waterbury Dive,399.95,2352.jpg
2353,Daniel Wellington,Petite Sheffield 32mm,279.0,2353.jpg
2354,adidas Originals,Project One,179.95,2354.jpg
2355,Olivia Burton,Vintage Bow,299.0,2355.jpg
2356,Swatch,DIVERSIPINK,195.0,2356.jpg
2357,Furla,Furla New Pin,289.0,2357.jpg
2358,adidas Originals,Code Three,209.95,2358.jpg
2359,Cluse,Vigoureux Nylon,169.0,2359.jpg
2360,Missguided,Missguided Grey Pearlised,99.95,2360.jpg
2361,Daniel Wellington,Classic Cornwall 36mm,289.0,2361.jpg
2362,Versace,V-Chrono,2310.0,2362.jpg
2363,Cluse,Aravis Mesh,169.0,2363.jpg
2364,Daniel Wellington,Petite Ashfield 32mm,299.0,2364.jpg
2365,Mido,Belluna Royal Gent,1125.0,2365.jpg
2366,Swatch,ROSE MOIRE,240.0,2366.jpg
2367,Guess,Melody,299.95,2367.jpg
2368,Missguided,Missguided Gold Expander,139.95,2368.jpg
2369,Daniel Wellington,Petite Pressed Ashfield 24mm,279.0,2369.jpg
2370,Swatch,LOST MOON,150.0,2370.jpg
2371,Missoni,Fiammato 37mm,1430.0,2371.jpg
2372,Mido,Multifort Chronometer 1,2050.0,2372.jpg
2373,Tissot,PR 100 Sport Gent Chronograph,700.0,2373.jpg
2374,Rosefield,The Upper East Side,189.95,2374.jpg
2375,Polar,Polar Unite White,199.0,2375.jpg
2376,Tissot,T-My Lady,725.0,2376.jpg
2377,Maserati,Maserati Successo Solar Blue Chronograph,659.0,2377.jpg
2378,Mido,Belluna Royal Gent,1125.0,2378.jpg
2379,Guess,Melody,299.95,2379.jpg
2380,Tissot,Chrono XL,600.0,2380.jpg
2381,Rosefield,The West Village With Swarovski Crystals,179.95,2381.jpg
2382,Versace,Greca Glam - VE2Q0 30mm,2520.0,2382.jpg
2383,Missguided,Missguided Gold Expander,139.95,2383.jpg
2384,Mido,Baroncelli Gent,1300.0,2384.jpg
2385,Daniel Wellington,Petite Pressed Ashfield 24mm,279.0,2385.jpg
2386,Missoni,Fiammato 37mm,1430.0,2386.jpg
2387,Tissot,Carson Premium Powermatic 80,1050.0,2387.jpg
2388,Swatch,LOST MOON,150.0,2388.jpg
2389,Mido,Multifort Chronometer 1,2050.0,2389.jpg
2390,Tissot,PR 100 Sport Gent Chronograph,700.0,2390.jpg
2391,Tissot,PR 100 Sport Chic,550.0,2391.jpg
2392,Mido,Rainflower,1675.0,2392.jpg
2393,Tissot,T-My Lady,725.0,2393.jpg
2394,Tissot,Lovely Square,600.0,2394.jpg
2395,Rosefield,The Upper East Side,189.95,2395.jpg
2396,Maserati,Maserati Successo Solar Blue Chronograph,659.0,2396.jpg
2397,Cluse,Boho Chic Petite Mesh,169.0,2397.jpg
2398,TONY+WILL,Classic,99.95,2398.jpg
2399,Daniel Wellington,Petite Bristol 32mm,279.0,2399.jpg
2400,TONY+WILL,Lunar,99.95,2400.jpg
2401,TONY+WILL,Astral,99.95,2401.jpg
2402,Guess,Grace,349.95,2402.jpg
2403,adidas Originals,Digital One GMT,179.95,2403.jpg
2404,Cluse,Aravis Mesh,169.0,2404.jpg
2405,Cluse,Feroce Mesh,149.0,2405.jpg
2406,Cluse,Triomphe Leather,189.0,2406.jpg
2407,Daniel Wellington,Petite Sheffield 28mm,249.0,2407.jpg
2408,Tissot,Gent XL Classic,450.0,2408.jpg
2409,Daniel Wellington,Petite Sheffield 28mm,249.0,2409.jpg
2410,Tissot,Lovely Square,500.0,2410.jpg
2411,Mido,Multifort Chronograph Special Edition,3175.0,2411.jpg
2412,Daniel Wellington,Quadro Lumine Pearl,379.0,2412.jpg
2413,Tissot,Chrono XL,550.0,2413.jpg
2414,Polar,Polar Grit X Pro Copper,749.0,2414.jpg
2415,Swatch,NIGHT CORD,130.0,2415.jpg
2416,Daniel Wellington,Petite Pressed Melrose 24mm,279.0,2416.jpg
2417,Tissot,T-Wave,700.0,2417.jpg
2418,adidas Originals,Code One Chrono,279.95,2418.jpg
2419,Cluse,Minuit Mesh,149.0,2419.jpg
2420,Tissot,Gentleman Automatic Silicium,1175.0,2420.jpg
2421,Cluse,Minuit Mesh,169.0,2421.jpg
2422,Swatch,SKIN SUIT BLUE,285.0,2422.jpg
2423,Mido,Mido Multifort 20th Anniversary Inspired by Architecture,1650.0,2423.jpg
2425,Missoni,Fiammato 37mm,1535.0,2425.jpg
2426,The Horse,The Chronograph,219.0,2426.jpg
2427,The Horse,The Blockout,99.0,2427.jpg
2428,Tissot,Heritage Visodate Powermatic 80,1000.0,2428.jpg
2429,Daniel Wellington,Petite Bondi 32mm,279.0,2429.jpg
2430,Mido,Ocean Star 200,1475.0,2430.jpg
2431,Daniel Wellington,Petite Bristol 32mm,279.0,2431.jpg
2432,Mido,Baroncelli Tonneau Lady,2175.0,2432.jpg
2433,Mido,Mido Commander Chronograph,3175.0,2433.jpg
2434,Mido,Multifort Chronometer 1,2200.0,2434.jpg
2435,Mido,Multifort Gent,1325.0,2435.jpg
2436,Daniel Wellington,Iconic Motion 44mm,409.0,2436.jpg
2437,Nixon,Sentry Solar Stainless Steel,429.99,2437.jpg
2438,Daniel Wellington,Petite Bristol 32mm,279.0,2438.jpg
2439,Daniel Wellington,Petite St Mawes 32mm,279.0,2439.jpg
2440,TONY+WILL,Small Classic,99.95,2440.jpg
2441,Jag,Xavier Black Dial IP Yellow Gold Bracelet 44 mm,159.0,2441.jpg
2442,Daniel Wellington,Quadro Ashfield 29mm,409.0,2442.jpg
2443,Polar,Polar Grit X Pro Black,749.0,2443.jpg
2444,Mido,Ocean Star Chronograph,3625.0,2444.jpg
2445,Tissot,PR 100 Sport Gent,550.0,2445.jpg
2446,Mido,Baroncelli Gent,2050.0,2446.jpg
2447,Versace,Versace Essential 36mm,1390.0,2447.jpg
2448,Daniel Wellington,Petite Cornwall 32mm,249.0,2448.jpg
2449,Maserati,Maserati Stile Gun Metal Chronograph,569.0,2449.jpg
2450,DUKUDU,Loki 45mm,229.0,2450.jpg
2451,Nixon,Sentry Solar Stainless Steel,429.99,2451.jpg
2452,Daniel Wellington,Classic Southampton 36mm,289.0,2452.jpg
2453,Mido,Ocean Star Tribute,1600.0,2453.jpg
2454,TONY+WILL,Astral,99.95,2454.jpg
2455,Daniel Wellington,Petite Sterling 28mm,259.0,2455.jpg
2456,Nixon,Sentry Solar Stainless Steel,429.99,2456.jpg
2457,Daniel Wellington,Iconic Motion 40mm,409.0,2457.jpg
2458,Mido,Baroncelli,1225.0,2458.jpg
2459,Daniel Wellington,Petite Melrose 36mm,319.0,2459.jpg
2460,Mido,Commander Shade,1225.0,2460.jpg
2461,Daniel Wellington,Quadro Melrose Pearl,339.0,2461.jpg
2462,Mido,Baroncelli Big Date,1575.0,2462.jpg
2463,Daniel Wellington,Petite Bristol 32mm,279.0,2463.jpg
2464,Jag,Xavier Black Dial IP Yellow Gold Bracelet 44 mm,159.0,2464.jpg
2465,Daniel Wellington,Quadro Sheffield 29mm,379.0,2465.jpg
2466,TONY+WILL,Classic,89.95,2466.jpg
2467,Tissot,Lovely Square,525.0,2467.jpg
2468,The Horse,Ocean Plastics,159.0,2468.jpg
2469,Daniel Wellington,Petite Rosewater 36mm,289.0,2469.jpg
2470,Mido,Multifort Chronometer 1,1875.0,2470.jpg
2471,Tissot,Gentleman Automatic Silicium,1175.0,2471.jpg
2472,Mido,Baroncelli Gent,1450.0,2472.jpg
2473,Mido,Baroncelli Chronometer Silicon Gent,1800.0,2473.jpg
2474,VERSUS Versace,Brick Lane Mesh 34mm,565.0,2474.jpg
2475,Daniel Wellington,Classic Cornwall 40mm,319.0,2475.jpg
2476,Tissot,PR 100 Sport Gent Chronograph,700.0,2476.jpg
2477,Daniel Wellington,Petite Ashfield 36mm,319.0,2477.jpg
2478,Mido,Baroncelli Gent,1300.0,2478.jpg
2479,TONY+WILL,Lunar,99.95,2479.jpg
2480,Tissot,Carson Premium,550.0,2480.jpg
2481,Mido,Baroncelli Tonneau Lady,1950.0,2481.jpg
2482,Tissot,Seastar 1000 Chronograph,825.0,2482.jpg
2483,Mido,Baroncelli Tonneau Lady,1950.0,2483.jpg
2484,Mido,Commander Big Date,1700.0,2484.jpg
2485,Tissot,Le Locle Automatic Lady 29mm,1225.0,2485.jpg
2486,The Horse,Ocean Plastics,159.0,2486.jpg
2487,Mido,Baroncelli Diamonds,1500.0,2487.jpg
2488,Tissot,Carson Premium,550.0,2488.jpg
2489,TONY+WILL,Small Astral,99.95,2489.jpg
2490,Mido,Belluna Royal Lady Special Edition,1650.0,2490.jpg
2491,The Horse,The Mini Resin,139.0,2491.jpg
2492,Mido,Commander Icone,2225.0,2492.jpg
2493,Mido,Baroncelli Chronometer Silicon Gent,1900.0,2493.jpg
2494,Tissot,Carson Premium Lady,575.0,2494.jpg
2495,Maserati,Maserati Successo Solar Gunmetal Chronograph,529.0,2495.jpg
2496,Mido,Commander Big Date,1575.0,2496.jpg
2497,TONY+WILL,Lunar,99.95,2497.jpg
2498,Mido,Multifort Patrimony,1325.0,2498.jpg
2499,TONY+WILL,CASPIAN,139.0,2499.jpg
2500,Tissot,PR 100 Sport Chic,550.0,2500.jpg
2501,Polar,Polar Grit X Black,599.0,2501.jpg
2502,Tissot,Chemin des Tourelles Powermatic 80,1250.0,2502.jpg
2503,TONY+WILL,Small Astral,99.95,2503.jpg
2504,Polar,Polar Ignite 2 Pink Rose Gold,349.0,2504.jpg
2505,Mido,Baroncelli Heritage Lady,1750.0,2505.jpg
2506,Mido,Baroncelli Gent,1225.0,2506.jpg
2507,Mido,Baroncelli Gent,1225.0,2507.jpg
2508,Mido,Baroncelli,1550.0,2508.jpg
2509,Mido,Baroncelli Wild Stone,1550.0,2509.jpg
2510,Tissot,Lovely Square,475.0,2510.jpg
2511,Tissot,SuperSport Chrono,725.0,2511.jpg
2512,Paul Hewitt,Perfect Match Sailor,279.0,2512.jpg
2513,Mido,Multifort Chronometer 1,2100.0,2513.jpg
2514,Tissot,PR 100 Sport Chic,825.0,2514.jpg
2515,Mido,Ocean Star GMT,1825.0,2515.jpg
2516,Polar,Polar Vantage V2 Red,699.0,2516.jpg
2517,Mido,Baroncelli Prisma,1775.0,2517.jpg
